op_id,op_gender,post_id,post_text,post_type
57265377,M,0,"Yesterday, my colleagues and I voted to protect state's rights and the rights of our unborn children by overturning Obama's HHS rule. I pledge to always protect the sanctity of life. https://goo.gl/N8kd99",video
57265377,M,1,"Roses are red...and so is Texas. Let's keep it that way. Happy Valentine's Day, Texas.",video
57265377,M,2,#TBT to this classic video. #DonkeyWhisperer,video
57265377,M,3,"Since President Donald J. Trump was sworn in on January 20, he has been busy fixing the mess created by Obama. It's a new day in America.  Gone are the elitist, liberal policies of the Obama era.  Now, we are going to empower people with less government and more freedom.  And yes, together we will make America great again!",video
57265377,M,4,Remembering our 40th president today. LIKE to help me wish President Reagan a Happy Birthday!,video
57265377,M,5,"After a phenomenal season, Jason Garrett has been named the 2016 NFL Coach of the Year!",photo
57265377,M,6,"In Texas, we honor our military heroes. #ChrisKyleDay",photo
57265377,M,7,"Last night, President Donald J. Trump nominated Justice Neil Gorsuch to replace the late Antonin Scalia on the Supreme Court. Here's what to know about Justice Gorsuch:",video
57265377,M,8,"President Trump has just nominated judge Neil Gorsuch to the Supreme Court. His strong academic background, experience, and adherence to our Constitution, I believe, will make him a fine replacement of the late justice Antonin Scalia. The ball is now in the Senate's court, and I expect them to uphold the will of this president and the American people.",status
57265377,M,9,"""I agree 100% with President Trump's decision. The national security of the United States is a paramount issue...ISIS's strongholds are in Iraq and Syria. We all know what they want to do to Americans."" -  Johnny Walker, Chris Kyle's Iraqi translator during the Iraq War",link
57265377,M,10,Great news! Former President George H.W. Bush has been released from the hospital.,link
57265377,M,11,"Without the preservation of life, we will have no liberty. #LIFEEQUALSLIBERTY #MARCHFORLIFE",photo
57265377,M,12,I'd say president Donald J. Trump's 100 day plan is off to a good start.,video
57265377,M,13,"I'll be joining The Sean Hannity Show from the GOP policy retreat in Philadelphia at 3:30pm CT. Those in the Austin area can listen on KJCE 1370am and those in the Dallas/Fort Worth area can listen on KSKY 660am.  If you are in Washington, DC, you can listen on WWRC 1260am.",status
57265377,M,14,"President Donald Trump demonstrates his seriousness about fulfilling campaign promises of lower taxes, less regulation, and more fiscal spending as the Dow hits 20K for the first time ever!",photo
57265377,M,15,President Trump is checking off his campaign promises daily with new executive orders. Today's order of business: Build the wall and secure our borders!,video
57265377,M,16,"For years, President Obama ignored the fact that these domestic pipelines would have created direct and indirect American jobs. It's been one week, and already President Trump has exceeded his campaign's promise to create jobs for American families.   http://www.usatoday.com/story/news/politics/2017/01/24/trump-signs-five-more-orders-pipelines-steel-and-environment/96988428/",video
57265377,M,17,"President Trump has hit the ground running. As your congressman, I'm ready to work beside our new president to Make America Great Again!",video
57265377,M,18,"It's time to put Obama in the history books. When Donald Trump is sworn in as the 45th president of the United States, it will mean that America is again open for business.",video
57265377,M,19,"Since its inception, Obamacare has been an absolute nightmare. It's time to repeal this failed legislation once and for all. Do you agree?",video
57265377,M,20,"Remembering these wise words from Dr. Martin Luther King, Jr. #mlkday",photo
57265377,M,21,And the repeal process begins...,photo
57265377,M,22,"Recently, President George H. and Barbara Bush celebrated their 72nd Anniversary. SHARE to wish the longest-married couple in presidential history a happy and healthy anniversary!",video
57265377,M,23,"This day and every day, I will always support our law enforcement officers.",video
57265377,M,24,"On this day in 1776, writer Thomas Paine publishes his pamphlet ""Common Sense,"" setting forth his arguments in favor of American independence.",video
57265377,M,25,It's time. Like if you agree.,video
57265377,M,26,In 15 days we will restore conservative values to our great country. Are you ready?,video
57265377,M,27,,video
57265377,M,28,Shameful.,video
57265377,M,29,"From our family to yours - Merry Christmas, y'all!",video
57265377,M,30,"Today, the electoral college meets to officially seal Donald Trump's victory. Just another thing to be thankful for this Christmas.",video
57265377,M,31,Enjoyed speaking to the Central Texas Republican Assembly tonight. Such a great crowd!,photo
57265377,M,32,"In Texas, we're proud to say Merry Christmas.",video
57265377,M,33,I am honored to represent the 25th Congressional District of Texas. LIKE if you're a proud resident of CD 25!,video
57265377,M,34,"Marine Colonel. WWII & Korean War Fighter Pilot. NASA Astronaut. Senator. Today, America mourns a hero. RIP John Glenn.",photo
57265377,M,35,"Today is National Pearl Harbor Remembrance Day, marking 75 years since the American naval base at Pearl Harbor was attacked by Japanese forces. Let us honor the memory of those who lost their lives on this day, 75 years ago.",photo
57265377,M,36,"In Texas, we take care of our veterans - and that's how it should be. Great story!",link
57265377,M,37,'Tis the season. Only 24 days until #Christmas!,video
57265377,M,38,Our president elect promised to keep jobs from moving overseas. I'd say he's off to a good start.,video
57265377,M,39,Hillary Clinton be like...,video
57265377,M,40,"From our family to yours - Happy Thanksgiving, Texas!",photo
57265377,M,41,59 days until Barack Obama is out of office. Just another thing to be thankful for.,photo
57265377,M,42,These are my foremost conservative principles. What are yours?,photo
57265377,M,43,"I believe Donald Trump will unify our party more than ever against Obama's destructive policies. I'm excited to work with the President Elect to further our shared republican principles of smaller government, fewer regulations, and lower taxes.",photo
57265377,M,44,Honoring all who served. #VeteransDay,photo
57265377,M,45,It is a great privilege to continue serving the great state of Texas in CD 25. Thank you for your support and your vote. God Bless Texas!,photo
57265377,M,46,"Today, I humbly ask for your vote. #ElectionDay2016",photo
57265377,M,47,#ElectionDay #NeverHillary,photo
57265377,M,48,I've been #NeverHillary from day one. Have you?,photo
57265377,M,49,Would you put this sign in your yard?,photo
57265377,M,50,"We know you won't forget, but just in case...",photo
57265377,M,51,"In honor of Halloween, Roger Williams Productions brings you **CLINTONGEIST**. Don't let them back in. Vote today!",photo
57265377,M,52,"Happy Halloween, Texas! It's time to end the nightmare once and for all. If you haven't already, remember to get out and vote today!",photo
57265377,M,53,"BREAKING - The FBI announced today that it will re-open the investigation into Hillary Clinton's private email server. All the while, president Obama is campaigning vigorously on her behalf in Ohio, North Carolina, and Florida. The question is simple: How can he in good conscience campaign for someone who is the subject of an active FBI investigation?",photo
57265377,M,54,Have you voted early in this critical election? I'm #NeverHillary and will do everything in my power to ensure we don't have another 4 years of Obama's reckless policies. Are you with me?,photo
57265377,M,55,,photo
57265377,M,56,"From the plummeting Obama economy, to weak immigration policy, to destructive foreign policy, and countless others, Barack Obama has failed the United States. It's time to take our country back. You can make a difference by voting early now through Nov. 4th.",photo
57265377,M,57,"Barack Obama will be out of office in a few short months, but the damage from Obamacare is just getting started. I pledge to do everything in my power to repeal and replace this failed legislation.",link
57265377,M,58,"The polls are open in Texas! Lines will be long on election day, so get out and make your voice heard today. Polling locations >>> http://www.votetexas.gov/voting/where/",photo
57265377,M,59,But who's counting?,photo
57265377,M,60,Such a great crowd tonight with Ted Cruz at the GOTV rally at the Old TX Brewing Co. in Burleson.,photo
57265377,M,61,"Tonight is the final presidential debate, in which Hillary Clinton will continue her systematic behavior of lying and deceiving the American people. #NeverHillary",photo
57265377,M,62,Our suggestion for the 2017 edition of Webster's Dictionary. #Obamanation,photo
57265377,M,63,The scandal that never ends. #NeverHillary,link
57265377,M,64,"Happy Friday, Texas.",photo
57265377,M,65,Happy 241st birthday to the United States Navy!,photo
57265377,M,66,"As president, Hillary Clinton would raise taxes on hard-working Americans. Here's a list of a few such proposals: http://www.atr.org/list-hillary-tax-hikes. Share this post if taxes are already too high! #NoNewTaxes",photo
57265377,M,67,"Charting a course for a better, more prosperous America. Happy Columbus Day!",photo
